shortcode,date_utc,likes,comments,is_video,video_views,caption_length,url
CQh4JdYrxnf9XnEkZJcTixG7xJos5DimGkqlB80,2025-10-11T15:53:27.000Z,1,0,False,,11,https://www.instagram.com/nicole.az13/p/CQh4JdYrxnf9XnEkZJcTixG7xJos5DimGkqlB80/
CZlIPkYr5A9p9-8Bo13YpnuOBl5CiTbmLV9JnU0,2025-10-11T15:51:38.000Z,1,0,False,,11,https://www.instagram.com/nicole.az13/p/CZlIPkYr5A9p9-8Bo13YpnuOBl5CiTbmLV9JnU0/
CQrbPS8rhouRJkks320b37T7agH4EPWrk2Njkk0,2025-10-11T15:53:06.000Z,1,0,False,,11,https://www.instagram.com/nicole.az13/p/CQrbPS8rhouRJkks320b37T7agH4EPWrk2Njkk0/
CpWPp6NrjPvsn9ORHO-iyOf4ZKaPzP2edCkqnI0,2023-03-04T00:52:44.000Z,1,0,False,,11,https://www.instagram.com/nicole.az13/p/CpWPp6NrjPvsn9ORHO-iyOf4ZKaPzP2edCkqnI0/
CRFzUaWLKhsHZfXDNG-X_yrCpwdtsady2oh6CY0,2025-10-11T15:52:26.000Z,134,0,False,,11,https://www.instagram.com/nicole.az13/p/CRFzUaWLKhsHZfXDNG-X_yrCpwdtsady2oh6CY0/
CQehhH2r-Rx2XK2Eu4EL1Al68coZ5zOwZAmbZQ0,2025-10-11T15:53:47.000Z,1,0,False,,11,https://www.instagram.com/nicole.az13/p/CQehhH2r-Rx2XK2Eu4EL1Al68coZ5zOwZAmbZQ0/
CZz4MTHLTIeFOzcvMNe5uwVmftGZKIATjIY24Q0,2022-02-10T20:42:37.000Z,1,0,True,,11,https://www.instagram.com/nicole.az13/p/CZz4MTHLTIeFOzcvMNe5uwVmftGZKIATjIY24Q0/
