post_number,shortcode,date_utc,likes,comments,is_video,caption_length,url
1,DLvUq-VuK5Y,2025-07-05T20:25:02.000Z,29,0,False,0,https://www.instagram.com/jofre_a21/p/DLvUq-VuK5Y/
2,DM1HaUwO0-g,2025-08-01T22:55:57.000Z,18,0,False,0,https://www.instagram.com/jofre_a21/p/DM1HaUwO0-g/
3,DN--aMCDZLb,2025-08-30T15:21:05.000Z,17,0,False,0,https://www.instagram.com/jofre_a21/p/DN--aMCDZLb/
4,DJ22BccOxaa,2025-05-20T01:28:19.000Z,23,0,False,0,https://www.instagram.com/jofre_a21/p/DJ22BccOxaa/
5,DNmJWqRuQlA,2025-08-20T23:55:43.000Z,36,0,False,0,https://www.instagram.com/jofre_a21/p/DNmJWqRuQlA/
